City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Lufilufi,WS,78.58,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
299,Baillif,GP,81.9,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
301,Carson City,US,65.44,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
303,Ferkessedougou,CI,88.5,broken clouds,9.6,-5.2,Hotel Chateau
304,Whitianga,NZ,63.54,clear sky,-36.8333,175.7,Beachside Resort Whitianga
308,Colesberg,ZA,62.76,few clouds,-30.72,25.0972,Bhelekazi Guesthouse
310,Gambela,ET,80.17,light rain,8.25,34.5833,Solomon Debebe Hotel
311,Sompeta,IN,77.68,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
312,Krishnarajasagara,IN,75.16,broken clouds,12.4089,76.5797,Royal Orchid Brindavan Garden Palace & Spa
313,Srivardhan,IN,78.35,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
315,Carmen,MX,87.84,clear sky,18.6333,-91.8333,Hotel Lossandes
316,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
317,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
318,Lompoc,US,67.69,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
319,San Patricio,US,88.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
320,Ilo,PE,71.87,clear sky,-17.6394,-71.3375,Torreblanca Hotel
322,Amapa,BR,77.52,moderate rain,1.0,-52.0,
323,Bluefields,NI,87.87,broken clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
325,Kudahuvadhoo,MV,82.8,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
326,Ahipara,NZ,64.74,clear sky,-35.1667,173.1667,Ahipara Holiday Park
327,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
328,Santa Ana,US,68.94,broken clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
330,Wajir,KE,89.08,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
331,Wanning,CN,66.58,overcast clouds,18.8003,110.3967,Paradise Hotel
334,Kaeo,NZ,66.33,few clouds,-35.1,173.7833,Bushido Lodge
335,Pangoa,PE,84.15,scattered clouds,-12.1167,-73.0,
337,Buala,SB,78.28,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
338,Byron Bay,AU,64.71,light rain,-28.65,153.6167,Backpackers Inn
339,Bhitarwar,IN,84.83,clear sky,25.8,78.1167,Rahman master
340,Mpongwe,ZM,64.56,scattered clouds,-13.5091,28.155,Casablanca guest house and bar
341,Enterprise,US,78.33,broken clouds,36.0252,-115.2419,Las Vegas Motorcoach Resort
342,Surt,LY,62.82,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
343,Negombo,LK,78.85,few clouds,7.2083,79.8358,Hotel Sunset Beach
345,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
346,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
347,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
348,Comarapa,BO,66.96,broken clouds,-17.9,-64.4833,
351,Les Cayes,HT,82.44,scattered clouds,18.2,-73.75,Villa Orphee
353,Bonthe,SL,78.82,few clouds,7.5264,-12.505,Bonthe Holiday Village
356,Dabhol,IN,75.78,few clouds,17.6,73.1667,Ashwamedh Resort
361,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
363,Rio Grande,BR,66.31,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
365,Ipixuna,BR,79.66,light rain,-1.7625,-48.8043,Chalé do Mato
366,Hambantota,LK,78.1,few clouds,6.1241,81.1185,Bungalow 63
367,Abu Samrah,SY,60.67,overcast clouds,35.3029,37.1841,
368,Saint-Paul,RE,75.31,light rain,-21.0096,55.2707,Boucan Canot
370,Nelson Bay,AU,63.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
371,Pundaguitan,PH,80.8,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
373,Sao Jose Da Coroa Grande,BR,79.66,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
374,Liku,ID,75.11,overcast clouds,-0.7275,119.8922,Wahyu
377,Palauig,PH,77.88,overcast clouds,15.435,119.9045,Alperi Botique Resort
383,Trincomalee,LK,80.64,clear sky,8.5711,81.2335,Welcombe Hotel
387,Ambilobe,MG,73.2,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
389,Kavaratti,IN,82.31,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
390,Callaway,US,80.91,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
391,Ariquemes,BR,82.76,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
394,Qandala,SO,85.14,scattered clouds,11.472,49.8728,
395,Betioky,MG,72.03,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
397,Muli,MV,82.74,clear sky,2.9167,73.5667,Medhufushi Island Resort
398,Atar,MR,77.85,clear sky,20.5169,-13.0499,Oumou Elghoura
399,Victoria,HK,65.25,clear sky,22.2855,114.1577,Mini Hotel Central
400,Ballina,AU,64.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
401,Soure,BR,81.19,heavy intensity rain,-0.7167,-48.5233,Casarão da Amazônia
402,Coahuayana,MX,86.43,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
403,Mizque,BO,77.02,scattered clouds,-17.941,-65.3402,Hotel Mizque Boutique
405,Sabha,LY,81.61,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
411,Tabuk,PH,71.85,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
412,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
413,Goure,NE,81.54,few clouds,13.9835,10.2704,
417,Janauba,BR,89.87,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
418,Isangel,VU,80.24,overcast clouds,-19.55,169.2667,Tanna Lodge
419,Kathmandu,NP,66.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
420,Owando,CG,75.4,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
422,Tuburan,PH,80.37,light rain,6.6439,122.2736,GT Site
423,Nishihara,JP,63.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
425,Touros,BR,79.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
431,Sur,OM,82.44,clear sky,22.5667,59.5289,Sur Plaza Hotel
434,Farafangana,MG,74.28,few clouds,-22.8167,47.8333,Miarina
438,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
440,Odweyne,SO,75.45,clear sky,9.4092,45.064,Eng Hiirey House
441,Ghanzi,BW,65.93,moderate rain,-21.5667,21.7833,Ghanzi Farmhouse
443,Acapulco,MX,84.76,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
445,Amahai,ID,78.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
447,Coruripe,BR,79.95,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
448,Tutoia,BR,80.38,broken clouds,-2.7619,-42.2744,Pousada Guará's
449,Allapalli,IN,85.96,scattered clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
451,San Juan,AR,71.83,clear sky,-31.5375,-68.5364,Hotel Provincial
453,Adrar,MR,82.63,clear sky,20.5022,-10.0711,
454,Gweta,BW,78.22,broken clouds,-20.1833,25.2333,Gweta Lodge
456,Cortez,US,64.04,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
458,Samfya,ZM,67.23,scattered clouds,-11.3649,29.5565,Chita Lodge Samfya
459,Pasni,PK,77.2,clear sky,25.2631,63.471,Kashmiri Hotal
461,Nurota,UZ,63.59,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
463,Iralaya,HN,83.44,clear sky,15.0,-83.2333,Iglesia morava renovada
464,Libreville,GA,79.47,broken clouds,0.3925,9.4537,Le Méridien Re-Ndama
465,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
470,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
477,Kibaya,TZ,60.08,overcast clouds,-5.3,36.5667,Lusaka Hotel
478,Jalu,LY,78.8,clear sky,29.0331,21.5482,صاحبة الفخامة
480,Nogales,MX,77.72,clear sky,31.3086,-110.9422,Siesta Motel
481,Pangkalanbuun,ID,73.65,light rain,-2.6833,111.6167,Grand Kecubung Hotel
484,Fonte Boa,BR,79.05,overcast clouds,-2.4959,-66.2662,
485,Pimentel,PE,82.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
486,Kamina,CD,66.72,light rain,-8.7386,24.9906,Guest House Florvia
489,Suluq,LY,76.24,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
493,Benjamin Constant,BR,77.13,broken clouds,-4.3831,-70.0311,CASA AVALIADA
494,Jieshi,CN,60.94,clear sky,22.8134,115.8257,Yuehai Hotel
495,San Luis,AR,64.78,clear sky,-33.295,-66.3356,Huarpes Hotel
