City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
27,Srednekolymsk,RU,2022-03-30 00:54:21,67.45,153.6833,258.04,79,73,3.16
28,Acapulco,MX,2022-03-30 00:54:22,16.8634,-99.8901,298.7,64,3,4.13
29,Xichang,CN,2022-03-30 00:54:22,27.8964,102.2634,289.9,64,91,0.88
30,Barrow,US,2022-03-30 00:54:22,71.2906,-156.7887,249.24,94,10,8.26
31,Shupiyan,IN,2022-03-30 00:54:23,33.7167,74.8333,281.32,27,0,2.18
32,Majene,ID,2022-03-30 00:54:23,-3.5403,118.9707,301.74,70,68,1.29
33,Dikson,RU,2022-03-30 00:54:23,73.5069,80.5464,263.92,95,100,4.74
34,Bela,IN,2022-03-30 00:52:39,25.9333,81.9833,296.57,22,5,1.8
35,Bengkulu,ID,2022-03-30 00:54:24,-3.8004,102.2655,299.75,73,81,2.6
36,Hobart,AU,2022-03-30 00:54:24,-42.8794,147.3294,289.07,87,75,4.63
37,Hangu,CN,2022-03-30 00:54:25,39.2489,117.7892,281.17,55,100,4.25
38,Vaini,TO,2022-03-30 00:54:25,-21.2,-175.2,301.24,74,20,4.12
39,Muravlenko,RU,2022-03-30 00:54:25,63.7898,74.523,271.79,94,100,6.6
40,Upernavik,GL,2022-03-30 00:54:26,72.7868,-56.1549,260.16,92,92,2.92
41,Kidal,ML,2022-03-30 00:54:26,18.4411,1.4078,299.33,6,38,4.57
42,Hermanus,ZA,2022-03-30 00:54:27,-34.4187,19.2345,289.86,78,1,7.78
43,Bagdarin,RU,2022-03-30 00:54:27,54.4333,113.6,264.08,64,1,1.26
44,Villarrobledo,ES,2022-03-30 00:54:27,39.2699,-2.6012,282.47,86,100,2.47
45,Cabra,ES,2022-03-30 00:54:28,37.4725,-4.4421,285.18,89,100,0.45
46,Deniliquin,AU,2022-03-30 00:56:57,-35.5333,144.9667,295.93,40,0,5.25
47,Bumba,CD,2022-03-30 00:56:57,2.1833,22.4667,296.02,85,100,1.57
48,Chuy,UY,2022-03-30 00:56:57,-33.6971,-53.4616,293.46,91,100,3.71
49,Waipawa,NZ,2022-03-30 00:56:58,-41.4122,175.5153,289.81,89,100,1.83
50,Kapaa,US,2022-03-30 00:56:58,22.0752,-159.319,300.99,84,44,1.34
51,Bredasdorp,ZA,2022-03-30 00:56:01,-34.5322,20.0403,289.42,66,0,4.55
52,Yellowknife,CA,2022-03-30 00:56:59,62.456,-114.3525,266.16,84,75,5.81
53,Aksu,CN,2022-03-30 00:56:59,41.1231,80.2644,279.37,72,0,2.53
54,Kodiak,US,2022-03-30 00:56:59,57.79,-152.4072,277.88,81,100,3.6
55,Fortuna,US,2022-03-30 00:57:00,40.5982,-124.1573,285.85,92,100,4.12
56,Calamar,CO,2022-03-30 00:57:00,10.2511,-74.9146,300.55,73,73,1.93
57,Popondetta,PG,2022-03-30 00:57:00,-8.7537,148.2534,304.82,59,100,2.11
58,Saldanha,ZA,2022-03-30 00:57:01,-33.0117,17.9442,288.18,80,65,3.88
59,Kromy,RU,2022-03-30 00:57:01,52.6876,35.7667,273.61,92,100,2.79
60,Jamestown,US,2022-03-30 00:54:29,42.097,-79.2353,269.55,50,0,0.0
61,Atuona,PF,2022-03-30 00:57:02,-9.8,-139.0333,299.53,79,100,6.4
62,Airai,TL,2022-03-30 00:57:02,-8.9266,125.4092,293.3,81,90,0.2
63,Ilulissat,GL,2022-03-30 00:57:02,69.2167,-51.1,267.55,82,73,2.2
64,Touros,BR,2022-03-30 00:57:03,-5.1989,-35.4608,298.62,88,100,5.22
65,Zhigansk,RU,2022-03-30 00:57:03,66.7697,123.3711,259.46,86,94,2.6
66,Champerico,GT,2022-03-30 00:57:04,14.3,-91.9167,303.45,60,55,3.43
67,Qui Nhon,VN,2022-03-30 00:55:24,13.7667,109.2333,299.81,76,32,4.99
68,Alekseyevsk,RU,2022-03-30 00:57:04,57.8406,108.3492,263.97,92,70,1.74
69,Hasaki,JP,2022-03-30 00:57:04,35.7333,140.8333,287.37,80,100,6.11
70,Mayo,US,2022-03-30 00:57:05,38.8876,-76.5119,278.12,46,0,2.06
71,Albany,US,2022-03-30 00:52:20,42.6001,-73.9662,271.42,43,1,1.34
72,Half Moon Bay,US,2022-03-30 00:57:05,37.4636,-122.4286,290.16,83,100,5.66
73,Luancheng,CN,2022-03-30 00:57:06,37.8792,114.6517,282.24,86,100,3.43
74,Punta Arenas,CL,2022-03-30 00:56:17,-53.15,-70.9167,280.21,70,75,6.69
75,Namibe,AO,2022-03-30 00:57:06,-15.1961,12.1522,293.2,82,78,3.33
76,Sao Filipe,CV,2022-03-30 00:57:07,14.8961,-24.4956,294.96,75,50,4.36
77,Sorland,NO,2022-03-30 00:57:07,67.667,12.6934,274.6,63,100,13.39
78,Cefalu,IT,2022-03-30 00:57:07,38.0386,14.0229,289.01,67,100,3.13
79,Puerto Ayora,EC,2022-03-30 00:57:08,-0.7393,-90.3518,299.01,94,96,1.34
80,Aswan,EG,2022-03-30 00:57:08,24.0934,32.907,294.76,18,0,4.63
81,Geraldton,AU,2022-03-30 00:57:08,-28.7667,114.6,298.38,78,100,8.23
82,Hilo,US,2022-03-30 00:57:09,19.7297,-155.09,299.4,88,100,2.24
83,Qaanaaq,GL,2022-03-30 00:57:09,77.484,-69.3632,263.88,91,100,1.58
84,Port Hardy,CA,2022-03-30 00:57:09,50.6996,-127.4199,286.25,62,75,5.66
85,Guerrero Negro,MX,2022-03-30 00:57:10,27.9769,-114.0611,290.15,64,0,10.32
86,Avarua,CK,2022-03-30 00:57:06,-21.2078,-159.775,302.18,79,40,4.63
87,Sayyan,YE,2022-03-30 00:57:10,15.1718,44.3244,281.89,34,19,2.42
88,Bingol,TR,2022-03-30 00:57:11,38.8847,40.4939,274.36,74,100,2.03
89,Katsuura,JP,2022-03-30 00:57:11,35.1333,140.3,289.08,82,100,5.56
90,Norman Wells,CA,2022-03-30 00:57:11,65.282,-126.8329,262.17,73,75,3.6
91,Mareeba,AU,2022-03-30 00:57:12,-17.0,145.4333,305.74,44,87,0.58
92,Balykshi,KZ,2022-03-30 00:57:12,47.0667,51.8667,277.15,100,40,7.0
93,Port Alfred,ZA,2022-03-30 00:58:13,-33.5906,26.891,293.82,88,100,4.97
94,Malanville,BJ,2022-03-30 00:58:13,11.8685,3.3899,299.31,6,11,3.27
95,Bluff,NZ,2022-03-30 00:58:14,-46.6,168.3333,289.94,71,5,0.33
96,Ugoofaaru,MV,2022-03-30 00:58:14,5.6667,73.0,300.68,73,3,1.39
97,Hithadhoo,MV,2022-03-30 00:58:14,-0.6,73.0833,301.24,66,23,2.54
98,Severo-Kurilsk,RU,2022-03-30 00:58:15,50.6789,156.125,272.61,65,100,1.02
99,Beringovskiy,RU,2022-03-30 00:58:15,63.05,179.3167,256.22,85,86,7.51
100,Silvan,TR,2022-03-30 00:58:16,38.1419,41.0081,277.31,56,100,1.73
101,Zambezi,ZM,2022-03-30 00:58:16,-13.5432,23.1047,290.41,98,95,1.89
102,Rodrigues Alves,BR,2022-03-30 00:58:16,-7.738,-72.6509,295.54,99,87,1.3
103,Isangel,VU,2022-03-30 00:58:17,-19.55,169.2667,302.21,70,100,3.09
104,Saint Anthony,US,2022-03-30 00:58:17,45.0205,-93.218,277.49,46,100,2.68
105,East London,ZA,2022-03-30 00:58:17,-33.0153,27.9116,295.98,85,100,4.95
106,Port Elizabeth,ZA,2022-03-30 00:58:18,-33.918,25.5701,292.21,80,40,4.12
107,George,ZA,2022-03-30 00:58:18,-33.963,22.4617,286.9,88,0,1.54
108,Eureka,US,2022-03-30 00:58:18,40.8021,-124.1637,289.08,86,100,4.02
109,Amapa,BR,2022-03-30 00:58:19,1.0,-52.0,295.45,99,100,0.97
110,Kingsport,US,2022-03-30 00:55:23,36.5484,-82.5618,283.88,47,100,1.63
111,Chokurdakh,RU,2022-03-30 00:58:19,70.6333,147.9167,255.98,86,12,1.66
112,Goure,NE,2022-03-30 00:58:20,13.9835,10.2704,292.57,4,10,3.45
113,Kailua,US,2022-03-30 00:56:34,21.4022,-157.7394,300.45,73,40,3.6
114,Juneau,US,2022-03-30 00:58:06,58.3019,-134.4197,277.03,97,100,2.27
115,Harper,LR,2022-03-30 00:58:20,4.375,-7.7169,299.28,88,59,3.03
116,Arlit,NE,2022-03-30 00:58:21,18.7369,7.3853,296.43,5,59,3.52
117,Mwinilunga,ZM,2022-03-30 00:58:21,-11.7358,24.4293,289.77,98,100,1.17
118,Dingle,PH,2022-03-30 00:58:22,10.9995,122.6711,302.59,66,100,5.47
119,Yulara,AU,2022-03-30 00:58:22,-25.2406,130.9889,301.06,23,100,4.12
120,Tasiilaq,GL,2022-03-30 00:58:22,65.6145,-37.6368,268.41,76,100,5.36
121,Arraial Do Cabo,BR,2022-03-30 00:58:23,-22.9661,-42.0278,297.58,87,9,2.94
122,Lakatoro,VU,2022-03-30 00:58:23,-16.0999,167.4164,302.84,73,73,2.6
123,Savelugu,GH,2022-03-30 00:58:23,9.6244,-0.8253,303.61,25,61,2.19
124,Bambanglipuro,ID,2022-03-30 00:58:24,-7.95,110.2833,300.61,77,34,1.18
125,Gamba,GA,2022-03-30 00:58:24,-2.65,10.0,296.88,88,32,1.26
126,Ibague,CO,2022-03-30 00:58:25,4.4389,-75.2322,296.1,73,40,0.0
127,Tuktoyaktuk,CA,2022-03-30 00:58:25,69.4541,-133.0374,248.15,77,0,3.6
128,Lola,GN,2022-03-30 00:58:25,7.8,-8.5333,296.1,71,76,1.19
129,Oktyabrskiy,RU,2022-03-30 00:58:26,54.4815,53.471,273.72,92,100,6.13
130,Yakeshi,CN,2022-03-30 00:58:26,49.2833,120.7333,263.7,63,16,1.97
131,Vila,PT,2022-03-30 00:58:26,42.0304,-8.1588,276.64,97,7,2.02
132,Talnakh,RU,2022-03-30 00:58:27,69.4865,88.3972,270.49,95,100,5.12
133,Te Anau,NZ,2022-03-30 00:58:27,-45.4167,167.7167,293.69,53,6,0.34
134,Mar Del Plata,AR,2022-03-30 00:58:28,-38.0023,-57.5575,286.16,75,0,7.2
